50,noun,"","African anteater, ant bear, ant-bear, antbear, anteater, earth pig, fool",66
51,noun,"","Manila Hemp, Manilla hemp, textile banana, Manila hemp, Manilla hemp",61
52,noun,"","",60
53,noun,"","",65
54,noun,"","",62
55,adverb,"","",63
56,noun,"","Manila Hemp, Manilla hemp, textile banana, Manila hemp, Manilla hemp",69
57,noun,"",abaya,64
58,adverb,"","",68
59,noun,"","African anteater, ant bear, ant-bear, antbear, anteater, earth pig, fool",58
60,adverb,"","",59
61,noun,"","",67
62,noun,"","African anteater, ant bear, ant-bear, antbear, anteater, earth pig, fool",70
63,preposition,"","",63
64,preposition,"","",59
65,noun,"","",72
66,noun,"","",71
67,noun,"","",73
68,noun,"","",74
69,noun,"","",76
70,noun,"","",77
71,verb,"","",75
72,verb,"","",75
73,adjective,"","",76
74,noun,"","E260, preservative, ethanoic acid",76
75,noun,"","aborticide, embryoctony, feticide, foeticide, pregnancy, termination, aborticide, feticide, foeticide, pregnancy, termination, misbirth, miscarriage",75
76,noun,"","",76
77,noun,"","",76
78,adverb,"",around,75
79,noun,"","",76
80,adjective,"","",78
81,preposition,"","apropos, as for",75
82,noun,"","",79
